stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
2,1002,"13th St S & Court C",,47.251117,-122.440446,,,,,,1
3,1008,"96th St S & Front St",,47.170283,-122.474816,,,,,,1
6,102,"112th St S & 8th Ave Ct S",,47.155546,-122.445109,,,,,,1
7,103,"112th St S & 8th Ave Ct S",,47.155437,-122.444575,,,,,,1
8,104,"112th St S & Ainsworth Ave S",,47.155664,-122.455459,,,,,,1
9,1040,"Grandview Dr W & 29th St W",,47.233733,-122.550304,,,,,,1
10,1041,"Grandview Dr W & 29th St W",,47.233621,-122.550456,,,,,,1
13,1044,"Grandview Dr W & 33rd St W",,47.230047,-122.550304,,,,,,1
14,1045,"Grandview Dr W & 33rd St W",,47.229688,-122.550459,,,,,,1
17,1048,"Grandview Dr W & 37th St W",,47.224663,-122.552985,,,,,,1
18,1049,"Grandview Dr W & 37th St W",,47.225162,-122.552364,,,,,,1
19,105,"112th St S & Ainsworth Ave S",,47.155554,-122.455025,,,,,,1
20,1058,"Grandview Dr W & Tahoma Pl W",,47.222725,-122.556611,,,,,,1
21,1059,"Gravelly Lake Dr & School St SW",,47.158149,-122.520687,,,,,,1
22,106,"112th St S & 18th Ave S",,47.155717,-122.460627,,,,,,1
23,1060,"Gravelly Lake Dr & Lk Steilacoom",,47.152621,-122.535179,,,,,,1
24,1061,"Gravelly Lake Dr & 115th St Ct SW",,47.153558,-122.531785,,,,,,1
25,1062,"Gravelly Lake Dr & 59th Ave SW",,47.174497,-122.514625,,,,,,1
26,1063,"Gravelly Lake Dr & Steilacoom Blvd",,47.175814,-122.510628,,,,,,1
27,1064,"Gravelly Lake Dr & Alfaretta St",,47.164736,-122.520778,,,,,,1
28,1066,"Gravelly Lake Dr & Main St",,47.162013,-122.520575,,,,,,1
29,1067,"Gravelly Lake Dr & Main St SW",,47.162155,-122.520718,,,,,,1
30,1068,"Gravelly Lake Dr & Avondale Rd",,47.163792,-122.520602,,,,,,1
31,107,"112th St S & 18th Ave S",,47.155609,-122.460511,,,,,,1
32,1070,"Gravelly Lake Dr & Lake Ave SW",,47.159638,-122.520538,,,,,,1
33,1071,"Gravelly Lake Dr & Lake Ave SW",,47.159515,-122.520686,,,,,,1
34,1072,"Gravelly Lake Dr & Lk Grove St",,47.168671,-122.520170,,,,,,1
35,1073,"Gravelly Lake Dr & Lk Grove St",,47.168526,-122.520356,,,,,,1
36,1074,"Gravelly Lake Dr & Lk Steilacoom",,47.152648,-122.535497,,,,,,1
37,1075,"Gravelly Lake Dr & Mt Tacoma",,47.170471,-122.519589,,,,,,1
38,1076,"Gravelly Lake Dr & Mt Tacoma Dr",,47.170578,-122.519658,,,,,,1
39,1077,"Gravelly Lake Dr & Nyanza Rd",,47.155838,-122.525341,,,,,,1
40,1079,"Gravelly Lake Dr & School St",,47.157785,-122.520533,,,,,,1
41,108,"112th St S & Steele St S",,47.155806,-122.465073,,,,,,1
42,1081,"Gravelly Lake Dr & Steilacoom Blvd",,47.175701,-122.511183,,,,,,1
43,1082,"Gravelly Lake Dr & Washington Blvd SW",,47.149748,-122.538978,,,,,,1
44,1083,"Gravelly Lake Dr & Tower Rd",,47.150632,-122.538641,,,,,,1
45,1086,"Harborview Dr & Dorotich St",,47.332585,-122.584505,,,,,,1
46,1087,"Harborview Dr & Dorotich St",,47.332437,-122.584410,,,,,,1
47,1089,"Harborview Dr & N Harborview",,47.336902,-122.593928,,,,,,1
49,1090,"Harborview Dr N & Peacock Hill",,47.339536,-122.589454,,,,,,1
50,1091,"Harborview Dr N & Peacock Hill",,47.339488,-122.589728,,,,,,1
51,1092,"Harborview Dr & Rosedale St",,47.330722,-122.581980,,,,,,1
52,1093,"Harborview Dr & Rosedale St NW",,47.330681,-122.582123,,,,,,1
53,1094,"Harborview Dr & Stinson Ave",,47.333970,-122.589222,,,,,,1
54,1095,"Harborview Dr & Stinson Ave",,47.333548,-122.587548,,,,,,1
55,1096,"Highlands Pkwy & Augusta Pl",,47.264761,-122.523754,,,,,,1
56,1097,"Highlands Pkwy & Bel Air Pkwy N",,47.264992,-122.524347,,,,,,1
57,1098,"Highlands Pkwy & Newton St",,47.261972,-122.522504,,,,,,1
58,1099,"Highlands Pkwy & Newton",,47.261750,-122.522295,,,,,,1
60,110,"112th St S & Willow Park Apts",,47.155693,-122.464796,,,,,,1
61,1100,"Highlands Pkwy & Pearl St",,47.263363,-122.516489,,,,,,1
62,1101,"Highlands Pkwy & Pearl St",,47.263265,-122.516123,,,,,,1
63,1102,"Highlands Pkwy & Lutheran Home",,47.262195,-122.519942,,,,,,1
65,1106,"28th Ave S & S 362nd St",,47.276045,-122.297642,,,,,,1
66,1109,"28th Ave S & 362nd St S",,47.276540,-122.297772,,,,,,1
67,111,"112th St S & Park Ave S",,47.155374,-122.438863,,,,,,1
68,1112,"Hosmer St S & 8711 S Hosmer St",,47.178258,-122.463116,,,,,,1
69,1113,"Hosmer St S & 8620 S Hosmer St",,47.178554,-122.463241,,,,,,1
70,1114,"Hosmer St & S 72nd St",,47.191572,-122.459718,,,,,,1
71,1115,"Hosmer St & S 74th St",,47.190074,-122.460267,,,,,,1
72,1116,"Hosmer St & S 76th St",,47.188437,-122.462042,,,,,,1
74,1118,"Hosmer St & S 76th St",,47.186793,-122.462732,,,,,,1
75,1119,"Hosmer St & S 80th St",,47.186021,-122.463128,,,,,,1
76,112,"112th St S & Park Ave S",,47.155476,-122.439960,,,,,,1
77,1120,"Hosmer St & S 80th St",,47.184469,-122.463269,,,,,,1
78,1123,"Hosmer St & S 84th St",,47.180415,-122.463129,,,,,,1
79,1124,"Hosmer St & S 84th St",,47.180745,-122.463282,,,,,,1
80,1127,"Hosmer St & S 92nd St",,47.173676,-122.463036,,,,,,1
81,1128,"Hosmer St & S 92nd St",,47.173626,-122.463191,,,,,,1
83,113,"112th St S & Steele St S",,47.155928,-122.469026,,,,,,1
84,1131,"Hunt St NW & Kimball Dr",,47.316184,-122.584251,,,,,,1
85,1132,"Hunt St NW & Kimball Dr",,47.316275,-122.583306,,,,,,1
86,1134,"Meridian E & 13th St Ct E",,47.245343,-122.293871,,,,,,1
87,1135,"Meridian E & Queens Way",,47.244910,-122.293987,,,,,,1
88,1136,"Meridian E & 16th St E",,47.242861,-122.293842,,,,,,1
89,114,"112th St S & Steele St S",,47.155811,-122.467522,,,,,,1
90,1141,"Meridian Ave E & 24th St E",,47.236086,-122.293917,,,,,,1
91,1142,"Meridian Ave E & 24th St E",,47.235181,-122.294078,,,,,,1
92,1143,"Meridian Ave E & 29th St E",,47.231383,-122.293925,,,,,,1
93,1144,"Meridian Ave E & 29th St E",,47.230976,-122.294048,,,,,,1
94,1145,"Meridian Ave E & 32nd St E",,47.228476,-122.294063,,,,,,1
95,1146,"Meridian Ave E & 32nd St E",,47.228358,-122.293925,,,,,,1
96,1147,"Meridian Ave E & 36th St E",,47.225328,-122.293937,,,,,,1
97,1148,"Meridian Ave E & 36th St E",,47.225451,-122.294090,,,,,,1
98,1149,"Meridian E & 8th St E",,47.249974,-122.293797,,,,,,1
99,115,"6th Ave & Pearl St N",,47.255484,-122.514723,,,,,,1
100,1150,"Meridian E & Milton Wy",,47.248922,-122.293954,,,,,,1
101,1151,"Meridian E & Emerald St",,47.252337,-122.293776,,,,,,1
102,1152,"Meridian E & Emerald St",,47.252689,-122.293932,,,,,,1
103,1154,"Enchanted Pkwy & S 352nd St",,47.285786,-122.313481,,,,,,1
104,1155,"Enchanted Pkwy & S 352nd",,47.285748,-122.313633,,,,,,1
105,1156,"Enchanted Pkwy & 360th",,47.277547,-122.309713,,,,,,1
106,1157,"Enchanted Pkwy & 360th St S",,47.277744,-122.309691,,,,,,1
107,1160,"Meridian N & Taylor St E",,47.242264,-122.294003,,,,,,1
108,1161,"Meridian N & Valley Ave E",,47.205775,-122.293969,,,,,,1
112,1188,"J St & S 19th St",,47.243640,-122.448445,,,,,,1
113,1189,"J St & S 21st St",,47.242032,-122.447919,,,,,,1
114,1190,"J St & S 21st St",,47.241660,-122.447987,,,,,,1
115,1191,"J St & S 23rd St",,47.240162,-122.447501,,,,,,1
116,1192,"J St & S 23rd St",,47.239622,-122.447522,,,,,,1
117,1198,"Jackson Ave & Gardener Loop",,47.113826,-122.550980,,,,,,1
118,12,"100th St SW & Bridgeport Wy",,47.166634,-122.512553,,,,,,1
119,120,"Farwest Dr & 111th St Ct W",,47.156774,-122.573723,,,,,,1
120,1203,"Judson St & Gilisch St",,47.327954,-122.579747,,,,,,1
121,1207,"Judson St & Gilisch St",,47.328046,-122.580073,,,,,,1
123,1213,"Kimball Dr & Erickson St",,47.320784,-122.587054,,,,,,1
124,1216,"Kimball Dr & Erickson St",,47.320513,-122.586877,,,,,,1
125,1218,"Lakewood Dr SW & 83rd St Ct SW",,47.182159,-122.508681,,,,,,1
126,1219,"Kimball Dr P&R - Zone B",,47.318185,-122.586735,,,,,,1
128,1220,"Kimball Dr & Pioneer Way",,47.321899,-122.587615,,,,,,1
129,1221,"Kimball Dr & Pioneer Way",,47.321818,-122.587703,,,,,,1
130,1225,"Lakewood Dr SW & 93rd St SW",,47.173616,-122.507899,,,,,,1
131,1226,"Lakewood Dr SW & 100th St SW",,47.166862,-122.507490,,,,,,1
132,1229,"Lakewood Dr SW & 100th St",,47.167697,-122.507503,,,,,,1
134,1231,"Lakewood Dr SW & 74th St W",,47.190298,-122.508909,,,,,,1
135,1232,"Lakewood Dr SW & 76th St W",,47.188597,-122.508757,,,,,,1
136,1233,"Lakewood Dr SW & 76th St W",,47.188315,-122.508601,,,,,,1
137,1235,"Lakewood Towne Center Blvd SW & Bridgeport Way",,47.165249,-122.508938,,,,,,1
138,1236,"Lakewood Towne Center Blvd SW & Bridgeport Way",,47.165213,-122.508486,,,,,,1
139,1237,"Lakewood Dr SW & 95th St SW",,47.173383,-122.507702,,,,,,1
140,1238,"Lakewood Dr SW & Hannah-Pierce Rd",,47.202589,-122.508362,,,,,,1
141,1239,"Lakewood Dr SW & Steilacoom Blvd",,47.176218,-122.507755,,,,,,1
142,124,"43rd Ave SE & 5th St SE",,47.151081,-122.290414,,,,,,1
143,1242,"Lakewood Dr SW & 83rd St Ct SW",,47.182148,-122.508528,,,,,,1
145,1244,"Lakewood Dr W & 64th St W",,47.199008,-122.508779,,,,,,1
146,1245,"Lakewood TC - Zone A",,47.165187,-122.512384,,,,,,1
147,1246,"176th St E & Meridian E",,47.096732,-122.297569,,,,,,1
148,1247,"Military Rd SW & Holden Rd SW",,47.150518,-122.568681,,,,,,1
149,1248,"Gravelly Lake Dr & Madera Ln",,47.153513,-122.531331,,,,,,1
150,1249,"Pt Fosdick Dr NW & 46th St Ct NW",,47.301237,-122.579165,,,,,,1
152,1251,"Lexington St & Roe St",,47.171148,-122.585177,,,,,,1
153,1254,"Lexington St & Stevens St",,47.171329,-122.591140,,,,,,1
154,1255,"Lexington St & Stevens St",,47.171231,-122.590642,,,,,,1
156,127,"116th St S & 12th Ave S",,47.151308,-122.450364,,,,,,1
157,1271,"M St & S 38th St",,47.222801,-122.450813,,,,,,1
158,1272,"M St & S 39th St",,47.221972,-122.450707,,,,,,1
159,1273,"M St & S 41st St",,47.220090,-122.450888,,,,,,1
160,1274,"M St & S 41st St",,47.219909,-122.450753,,,,,,1
161,1277,"M St & S 45th St",,47.216746,-122.450811,,,,,,1
162,1278,"M St & S 45th St",,47.216746,-122.450948,,,,,,1
163,128,"116th St S & 12th Ave S",,47.151213,-122.450284,,,,,,1
164,1281,"M St & S 48th St",,47.213977,-122.450887,,,,,,1
165,1282,"M St & S 48th St",,47.213815,-122.451067,,,,,,1
166,1283,"M St & S 50th St",,47.211690,-122.451042,,,,,,1
167,1284,"M St & S 50th St",,47.211820,-122.451175,,,,,,1
168,1285,"M St & S 52nd St",,47.210064,-122.451168,,,,,,1
169,1286,"M St & S 52nd St",,47.209921,-122.451034,,,,,,1
170,1287,"M St & S 54th St",,47.208186,-122.451019,,,,,,1
171,1288,"M St & S 54th St",,47.208375,-122.451159,,,,,,1
172,1289,"M St & S 56th St",,47.206724,-122.451002,,,,,,1
174,1290,"M St & S 56th St",,47.206513,-122.451140,,,,,,1
175,1291,"JBLM Madigan Hospital",,47.108661,-122.553961,,,,,,1
181,1297,"72nd St E & 34th Ave E",,47.191763,-122.383842,,,,,,1
184,13,"100th St SW & Bristol Ave SW",,47.166648,-122.517255,,,,,,1
185,130,"116th St S & 8th Ave Ct S",,47.151250,-122.444784,,,,,,1
193,131,"116th St S & 8th Ave Ct S",,47.151166,-122.445072,,,,,,1
194,1310,"72nd St E & 34th Ave E",,47.191658,-122.383882,,,,,,1
