stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,platform_code,tts_stop_name
1108,Westlake,47.611450,-122.337532,,Westlake to Federal Way,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/westlake-station,,C03,1,America/Los_Angeles,2,
1121,Westlake,47.611759,-122.335785,,Westlake to Lynnwood,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/westlake-station,,C03,1,America/Los_Angeles,1,
455,Symphony,47.607246,-122.335754,,Symphony to Federal Way,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/symphony-station,,C05,1,America/Los_Angeles,2,
501,Pioneer Square,47.602139,-122.331055,,Pioneer Square to Federal Way,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/pioneer-square-station,,C07,1,America/Los_Angeles,2,
532,Pioneer Square,47.603199,-122.331581,,Pioneer Square to Lynnwood,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/pioneer-square-station,,C07,1,America/Los_Angeles,1,
55578,Rainier Beach,47.522953,-122.279083,,Rainier Beach to Lynnwood,C29,https://www.soundtransit.org/ride-with-us/stops-stations/rainier-beach-station,,C29,1,America/Los_Angeles,1,
55656,Othello,47.538502,-122.281693,,Othello to Lynnwood,C27,https://www.soundtransit.org/ride-with-us/stops-stations/othello-station,,C27,1,America/Los_Angeles,1,
55778,Columbia City,47.560280,-122.292892,,Columbia City to Lynnwood,C25,https://www.soundtransit.org/ride-with-us/stops-stations/columbia-city-station,,C25,1,America/Los_Angeles,1,
55860,Mount Baker,47.576992,-122.297867,,Mount Baker to Lynnwood,C23,https://www.soundtransit.org/ride-with-us/stops-stations/mount-baker-station-transit-center,,C23,1,America/Los_Angeles,1,
55949,Mount Baker,47.576439,-122.297737,,Mount Baker to Federal Way,C23,https://www.soundtransit.org/ride-with-us/stops-stations/mount-baker-station-transit-center,,C23,1,America/Los_Angeles,2,
56039,Columbia City,47.559025,-122.292389,,Columbia City to Federal Way,C25,https://www.soundtransit.org/ride-with-us/stops-stations/columbia-city-station,,C25,1,America/Los_Angeles,2,
56159,Othello,47.537529,-122.281471,,Othello to Federal Way,C27,https://www.soundtransit.org/ride-with-us/stops-stations/othello-station,,C27,1,America/Los_Angeles,2,
56173,Rainier Beach,47.522266,-122.279587,,Rainier Beach to Federal Way,C29,https://www.soundtransit.org/ride-with-us/stops-stations/rainier-beach-station,,C29,1,America/Los_Angeles,2,
565,Symphony,47.608246,-122.336166,,Symphony to Lynnwood,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/symphony-station,,C05,1,America/Los_Angeles,1,
621,Int'l Dist/Chinatown,47.598438,-122.327820,,Int'l Dist/Chinatown to Lynnwood,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/international-district-chinatown-station,,C09,1,America/Los_Angeles,1,International District Chinatown
623,Int'l Dist/Chinatown,47.597660,-122.328217,,Int'l Dist/Chinatown to Federal Way,DSTT,https://www.soundtransit.org/ride-with-us/stops-stations/international-district-chinatown-station,,C09,1,America/Los_Angeles,2,International District Chinatown
